name,rating,genre,release_date,runtime,director,url
Jumanji: The Next Level,70,"Adventure, Comedy, Fantasy",12/13/2019,2h 3m,Dwayne Johnson,https://www.themoviedb.org/movie/512200
Given,88.0,"Animation, Drama, Music,",08/22/2020,Romance 1h,Takuya Eguchi,https://www.themoviedb.org/movie/632632
6 Underground,63.0,"Action, Thriller, Comedy",12/13/2019,2h 8m,Ryan Reynolds,https://www.themoviedb.org/movie/509967
We Can Be Heroes,63.0,"Action, Fantasy, Family, Comedy",12/25/2020,1h 37m,YaYa Gosselin,https://www.themoviedb.org/movie/615677
The Doorman,58.0,"Action, Thriller",10/01/2020,1h 37m,Ruby Rose,https://www.themoviedb.org/movie/737568
Roald Dahl's The Witches,67.0,"Family, Fantasy, Adventure, Comedy, Horror",10/25/2020,1h 46m,Anne Hathaway,https://www.themoviedb.org/movie/531219
The Funeral Home,24.0,"Horror, Comedy",04/15/2021,1h 26m,Luis Machín,https://www.themoviedb.org/movie/714277
Spider-Man: Far from Home,75.0,"Action, Adventure, Science Fiction",07/02/2019,2h 9m,Tom Holland,https://www.themoviedb.org/movie/429617
Godzilla: King of the Monsters,67.0,"Science Fiction, Action",05/31/2019,2h 12m,Kyle Chandler,https://www.themoviedb.org/movie/373571
Terminator: Dark Fate,65.0,"Action, Adventure, Science Fiction",11/01/2019,2h 8m,Linda Hamilton,https://www.themoviedb.org/movie/290859
Host,66.0,"Horror,",12/18/2020,Mystery 56m,Haley Bishop,https://www.themoviedb.org/movie/723072
Alone,62.0,"Thriller, Horror, Drama",09/10/2020,1h 38m,Jules Willcox,https://www.themoviedb.org/movie/509635
Code 8,62.0,"Science Fiction, Action, Crime, Thriller, Drama",07/02/2020,1h 39m,Stephen Amell,https://www.themoviedb.org/movie/461130
West,50,,(ES),1h 39m,Francesc Garrido,https://www.themoviedb.org/movie/684369
John Wick: Chapter 3 - Parabellum,74.0,"Action, Thriller, Crime",05/17/2019,2h 10m,Keanu Reeves,https://www.themoviedb.org/movie/458156
PAW Patrol: Jet to the Rescue,72.0,,09/03/2020,"Family, Animation",Anya Cooke,https://www.themoviedb.org/movie/743439
Venom,68.0,"Science Fiction, Action",10/05/2018,1h 52m,Tom Hardy,https://www.themoviedb.org/movie/335983
The Courier,63.0,"Action, Crime, Drama, Thriller",12/12/2019,1h 39m,Olga Kurylenko,https://www.themoviedb.org/movie/611914
Underwater,63.0,"Action, Horror, Science Fiction, Thriller",01/10/2020,1h 35m,Kristen Stewart,https://www.themoviedb.org/movie/443791
Once Upon a Snowman,69.0,"Animation, Family, Comedy,",10/23/2020,Fantasy 7m,Josh Gad,https://www.themoviedb.org/movie/741074
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,84.0,"Comedy, Animation, Fantasy",(JP),1h 30m,Jun Fukushima,https://www.themoviedb.org/movie/532067
Pacto de Fuga,78.0,"Drama, Thriller",01/23/2020,2h 18m,Benjamín Vicuña,https://www.themoviedb.org/movie/596247
Earth and Blood,63.0,"Action, Thriller",04/17/2020,1h 20m,Sami Bouajila,https://www.themoviedb.org/movie/659067
Flora & Ulysses,68.0,"Family, Adventure, Comedy, Fantasy",02/19/2021,1h 31m,Matilda Lawler,https://www.themoviedb.org/movie/621876
Mulan,70,"Adventure, Fantasy",09/04/2020,1h 55m,Liu Yifei,https://www.themoviedb.org/movie/337401
Peninsula,70,"Action, Horror, Thriller",07/15/2020,1h 56m,Gang Dong-won,https://www.themoviedb.org/movie/581392
Batman: Death in the Family,74.0,"Animation, Action",10/13/2020,1h 36m,Bruce Greenwood,https://www.themoviedb.org/movie/618353
Batman: Soul of the Dragon,71.0,"Animation, Action, Adventure, Crime, Fantasy",01/12/2021,1h 23m,David Giuntoli,https://www.themoviedb.org/movie/732450
Goblin Slayer: Goblin's Crown,78.0,"Animation, Adventure, Action, Fantasy",02/01/2020,1h 25m,Sumire Uesaka,https://www.themoviedb.org/movie/631132
Baba Yaga: Terror of the Dark Forest,61.0,Horror,02/27/2020,1h 36m,Oleg Chugunov,https://www.themoviedb.org/movie/575088
The Conjuring 2,72.0,"Horror, Mystery, Thriller",06/10/2016,2h 14m,Patrick Wilson,https://www.themoviedb.org/movie/259693
Finding 'Ohana,66.0,"Action, Adventure, Comedy, Family",01/29/2021,2h 3m,Kea Peahu,https://www.themoviedb.org/movie/644092
"Devoto, la invasión silenciosa",29.0,"Fiction, Thriller, Action",(AR),1h 12m,Diego Cremonesi,https://www.themoviedb.org/movie/700995
Toxic,73.0,Science Fiction,(AR),1h 20m,Jazmín Stuart,https://www.themoviedb.org/movie/687149
The New Mutants,63.0,"Action, Horror, Science Fiction",08/28/2020,1h 34m,Maisie Williams,https://www.themoviedb.org/movie/340102
Love and Monsters,74.0,"Comedy, Action, Adventure, Fantasy",04/14/2021,1h 49m,Dylan O'Brien,https://www.themoviedb.org/movie/590223
Chaco,79.0,Drama,(NL),1h 17m,Raimundo Ramos,https://www.themoviedb.org/movie/662334
My Hero Academia: Two Heroes,80,"Animation, Action, Comedy, Fantasy, Adventure",09/25/2018,1h 36m,Daiki Yamashita,https://www.themoviedb.org/movie/505262
Mortal Kombat,58.0,"Action, Fantasy",08/18/1995,1h 41m,Christopher Lambert,https://www.themoviedb.org/movie/9312
Grand Isle,60,"Thriller, Action",12/06/2019,1h 37m,Nicolas Cage,https://www.themoviedb.org/movie/560192
Gemini Man,64.0,"Science Fiction, Action, Drama, Thriller",10/11/2019,1h 57m,Will Smith,https://www.themoviedb.org/movie/453405
Get the Goat,73.0,"Action, Comedy, Crime",03/18/2021,1h 37m,Edmilson Filho,https://www.themoviedb.org/movie/799497
Xico's Journey,70,"Animation, Family",11/12/2020,1h 25m,Pablo Gama Iturrarán,https://www.themoviedb.org/movie/749618
I See You,69.0,"Thriller, Mystery, Horror, Crime",09/11/2019,1h 38m,Helen Hunt,https://www.themoviedb.org/movie/524251
Judas and the Black Messiah,75.0,"Drama, History",02/12/2021,2h 5m,Daniel Kaluuya,https://www.themoviedb.org/movie/583406
The Conjuring,75.0,"Horror, Thriller",07/19/2013,1h 52m,Vera Farmiga,https://www.themoviedb.org/movie/138843
